id,name,description,timesaving,toolId
1,Agent Charities,Register and enrol users for this service,,4
2,Agent Corporation Tax,Register and enrol users for this service,,4
3,Agent PAYE,Register and enrol users for this service,,4
4,Agent SA,Register and enrol users for this service,,4
5,Agent VAT,Register and enrol users for this service,,4
6,Individual SA,Register and enrol users for this service,,4
7,Individual VAT,Register and enrol users for this service,,4
8,Organisation Corporation Tax,Register and enrol users for this service,,4
9,Organisation PAYE,Register and enrol users for this service,,4
10,Organisation SA Partnership,Register and enrol users for this service,,4
11,Organisation SA Trust,Register and enrol users for this service,,4
12,Organisation SA,Register and enrol users for this service,,4
13,Organisation VAT,Register and enrol users for this service,,4
14,Organisation Charities,Register and enrol users for this service,,4
15,JSON Payload,Create a JSON Payload file,,5
16,UTR - Cotax,Reference Type Generator for SAP Portal and DDC ,,6
17,UTR - Cesa,Reference Type Generator for SAP Portal and DDC ,,6
18,Brocs,Reference Type Generator for SAP Portal and DDC ,,6
19,VRN,Reference Type Generator for SAP Portal and DDC ,,6
20,CID NINO,Reference Type Generator for SAP Portal and DDC ,,6
21,IRIS,Reference Type Generator for SAP Portal and DDC ,,6
22,ETMP Master Data,ETMP flat file type,,1
23,ETMP Transaction Data,ETMP flat file type,,1
24,ETMP Return Data,ETMP flat file type,,1
25,Open SEES,Check that application launches,,7
26,Open TSS Directories &Addresses,Check that application launches,,7
27,Open IDMS,Check that application launches,,7
28,Open Dragon,Check that application launches,,7
29,Open Jaws,Check that application launches,,7
30,Open MS word,Check that application launches,,7
31,Open MS Excel,Check that application launches,,7
32,Open MS Outlook,Check that application launches,,7
33,Open SCCM Client,Check that application launches,,7
34,Open APP-V Client,Check that application launches,,7
35,Open SA-Incorporating LDC,Check that application launches,,7
36,EB5 FPS18 EDI Generator,Creates an FPS18 file for RTI in EDI format,,8
37,EB5 EYU17 EDI Generator,Creates an EYU17 file for RTI in EDI format,,8
38,DVT - General File validation check,Checks the file when it is first loaded and highlights any obvious data issues,,9
39,DVT - Mandatory field check,Checks the specified fields contain data,,9
40,DVT - Field size check,Check the specified field is within the character limit,,9
41,DVT - Decimal size check,Checks the specified field is within the character limit before and after the decimal place,,9
42,TC603 v25,Generate cases for TC603 form type for Print to Mail,,10
43,TC601U v3.1,Generate cases for TC601U form type for Print to Mail,,10
44,TC1131 v3.2,Generate cases for TC1131 form type for Print to Mail,,10
45,CT61 v3,Generate cases for CT61 form type for Print to Mail,,10
46,FEU1 v1,Generate cases for FEU1 form type for Print to Mail,,10
47,P30B v2.2,Generate cases for P30B form type for Print to Mail,,10
48,RTI 501 v6,Generate cases for RTI 501 form type for Print to Mail,,10
49,RTI 502 v4,Generate cases for RTI 502 form type for Print to Mail,,10
50,RTI 514 v2,Generate cases for RTI 514 form type for Print to Mail,,10
51,RTI 515 v3,Generate cases for RTI 515 form type for Print to Mail,,10
52,RTI 516 v2,Generate cases for RTI 516 form type for Print to Mail,,10
53,RTI30B CL1A REM v0.1,Generate cases for RTI30B CL1A REM form type for Print to Mail,,10
54,SAFE1-4 v1.2,Generate cases for SAFE1-4 form type for Print to Mail,,10
55,SAFE5-8 v0.3,Generate cases for SAFE5-8 form type for Print to Mail,,10
56,SDLT12 v1.1,Generate cases for SDLT12 form type for Print to Mail,,10
